repo,commit,pattern
00inboxtest/terraform-google-vault,1d0b5db7f310dc6a47af3130a97e5373d9cdaddf,Expensive instance
64kramsystem/ultimate_aws_certified_cloud_practitioner_course_terraform_configuration,2f36b8a5f2f818138da72d218c1f3c9666ed54aa,Budget
AJarombek/global-aws-infrastructure,4a89f4b8235961275fa0e6aaf20848f2b8b7e733,Budget
Accurate0/infrastructure,eef88fd3e61cf4b5e04682824e76df5348b60de5,AWS - Expensive DynamoDB
Accurate0/infrastructure,06889e08148d258f329118d43734f8c8dcff994e,Expensive monitoring
Accurate0/infrastructure,bd63efe7cf8fd2d9ae3a1497c342f97a7d22a7f5,Expensive monitoring
AdrianNeatu/blog-terraform,3ba302c69eb2a491a5b23e94084b4ddd24a4a703,Budget
Amberoat/didactic-octo-eureka,494706fc421a0ddda47f7d543b7e7a296c378c26,Expensive instance
Arkoprabho/TerraformTutorial,ba317d7e402f014589e230fad8c7384016211ba2,AWS - Expensive DynamoDB
CheesecakeLabs/django-drf-boilerplate,e4003aa3c51b789e2a2b5828768a7d0f34659209,Expensive network resource
Civil-Service-Human-Resources/lpg-terraform-paas,59477d3dc237e72252bde005b783213b7e8ed961,Expensive instance
EngineerBetter/kf-infra,fa5f7fb35b0b44020fb81dd5c4e3b9ceaca1f967,Expensive instance
Eximchain/terraform-aws-quorum-cluster,6a56f400f7de3f4d5cef646d92e3f848608031c1,Expensive monitoring
ExpediaGroup/apiary-data-lake,47e62f2fc73a96611606cd619c084d1ded9d844d,Object storage lifecycle rules
GBergeret/micro-service-as-code,46f76d50b8569f450ce909e04f3c5fa81b97737a,Expensive network resource
GBergeret/tf-vpc-module,34d80ece7d0ef598414baffceb074c6580dd819b,Old generation
GBergeret/tf-vpc-module,5e63c8390cb1001daf4ad74bb2926cc060c0de08,Expensive network resource
Hapag-Lloyd/terraform-aws-bastion-host-ssm,516075e2987bdd1063f22768d451c1c1eb647175,Spot instances
HarsheshShah08/HS-Terraform,e0d0f044c54ebf491c122664d03e0cfe5d2b0823,Expensive network resource
IncredibleHolg/infra-aws-code,70904707a36ff8e5167e695de3529d8318911ba4,Expensive instance
InvictrixRom/website-infrastructure,09e400452c1bde25fe393dd56c2fd608b84a18ac,Expensive network resource
InvictrixRom/website-infrastructure,44d66328ea4467d05d7fb8092631aff5afbd8b26,Expensive network resource
IoT-Data-Marketplace/mp-infrastructure,5afcf39a85fc972eb9bb3486e5dc8aeeba77d3ee,Expensive network resource
JaredStufftGD/grok-airflow,7ac9544b0c651fd8193eb063079514d0aa41e290,Spot instances
Kalmalyzer/UE-Jenkins-BuildSystem,636097557e403eb1d6b6211b09e30c47e7f39466,Expensive instance
Kalmalyzer/UE-Jenkins-BuildSystem,ee8942b2c5d59546dd3b3be5f2cb88500d0fe1be,Expensive storage type
Katesagay/terraform-repo,9aacfbe12e3e7c1e726b9a3d834211aae01f419c,Budget
KieniL/terraform_setups,37f66bc43f57b1b7a5a897c58cefe09900afd7ef,Expensive instance
KoutaroNohira/hashicat,81dc1d3f98034672d5f62f440f2cc3abc58ce2a2,Expensive instance
Leonard-Ta/Sample-Security-service-Terraform,c16481a84d5823b65ce96bd811a265222385b43b,Expensive instance
Leonard-Ta/Sample-Security-service-Terraform,c16481a84d5823b65ce96bd811a265222385b43b,Expensive storage type
Linaro/qa-reports.linaro.org,76c8d1ee35046912b6da4f1cc23e8b1dcc12abe9,Expensive instance
MartinFeineis/terraform,359ba426393c78b78695797f9bdd6a08c0455720,Budget
MichaelDeCorte/TerraForm,3799ee8b9677d02254eb6d6f50f3732df4c8374e,AWS - Expensive DynamoDB
Midas-Protocol/webtwo-infra,25ed0319bf8099f0cc79eceba9104c73d9507e0d,Expensive network resource
NLnetLabs/rpki-deploy,8bd6e745475f635d6f6b6929a545afa2e1d9dd57,Expensive instance
ONSdigital/eq-terraform,79845fe095cd87287346f40d2adce9b28a32ef35,Old generation
ONSdigital/eq-terraform,6eaf697bf9f111214a6d74ee3094e5784a57d1bb,AWS - Expensive DynamoDB
ONSdigital/eq-terraform-dynamodb,40eb651a50d0dfd5cf047ef62c8a6259c1c66e02,AWS - Expensive DynamoDB
SamTowne/BasketballDrillBot,4ec6d54e4d36ab02b0a7daf042e727717371eaec,Object storage lifecycle rules
StratusGrid/terraform-aws-single-account-starter,c291c0954c89e1bfbdb76d4c8990baf9db986343,Budget
TalkingFox/SignalWs,935d9d683608b4d8a97ef6ccc2c8ab7c14eec0d0,AWS - Expensive DynamoDB
TimonB/tf-azure-example,ce89df3cebc6487146391afe9517661053229f77,Expensive instance
TimonB/tf-azure-example,b49579fbecbe8002932fdfb86146f83efd60bfcf,Expensive storage type
ToruMakabe/aks-anti-dry-iac,4ba7a9dc3085ab701c85737a4f36dd57fcd7596f,Spot instances
UrbanOS-Examples/common,206394bcc75866953f64cbf3bd6214e4e6f96e91,Expensive instance
Xin00163/terraform,f69ce3812180a20bbda69ff1432a1cd36342bc3b,Expensive network resource
aaaaasam/azure,c7bc0ce6f3fcaffcbbe7753f1a9d8437809bc167,Expensive instance
aeternity/terraform-aws-devnet,f4113a8f7e52991dfb75f63688aeba77bac76b01,Expensive instance
akaron/kubeadm_aws,2e2092ec94b27a4c3f0b9f4ee4d46a1983a72518,Overprovisioned resources
akerl/aws-account,91967d4089ad9580ceae62f7845581935c892455,Budget
alghanmi/terraform-modules,f4e8069ff11b7ca7a15ce25843b26d00fb399ade,Budget
alghanmi/terraform-modules,570d3d8440ed399ed8b30bffe1fd7a2adc197771,Expensive monitoring
alhardy-net/terraform-core-aws-alhardynet-networking,30be6aa1969e37d512153b558540fe714b635c4c,Expensive network resource
alhardy-net/terraform-core-aws-alhardynet-networking,f7b96f0b28008f8aed881cc211a5f3fdb3ae67ac,Expensive network resource
alhardy-net/terraform-core-aws-alhardynet-networking,b26b9e5d1b13602a4c192d9697a12df7770906b2,Expensive network resource
alphagov/govuk-aws,f844cd8e254b161bebef04101f8ce177bcd0840c,Object storage lifecycle rules
alphagov/govuk-aws,6cfda6ada5137b232ff442ae9f2aedc8520ee1b4,Old generation
alphagov/govuk-aws,aeb3bfbe393cdfc02e62b812843ed75cf5f245e4,Old generation
alphagov/govuk-aws,5fa5da9756f12559b490217dd5b173db48e7f2a9,Old generation
alphagov/govuk-aws,19d187e4a29147cbcf1cfae456cfcbfa8ad52b45,Old generation
alphagov/govuk-aws,806b1a2a47f2f4e580e524b2cf8cc5928749d972,Old generation
alphagov/govuk-aws,8d7d2ebe0dbe9ebf8009572d1d710c4700cf245e,Old generation
alphagov/govuk-aws,ffa75257747f225577616e6cf517eee965221041,Old generation
alphagov/govuk-aws,9b54cd6e875843c3ecade45ce37e863357b6e0e9,Expensive network resource
alphagov/govuk-infrastructure,a51a3bfcd73fd55ecd43aa36ce3f266f0cefc2dc,Expensive instance
alphagov/govuk-infrastructure,3386d7637c06f84cc3cc252f96d43e511cea428e,Expensive monitoring
alphagov/govuk-infrastructure,6017d0be84adac6b90b46f3d0bc2376a7e9b8e85,Expensive monitoring
alphagov/govuk-terraform-provisioning,ac105ab0a5ae38fbf69167e072f8970a4a61c3e8,Object storage lifecycle rules
alphagov/govwifi-terraform,348b52a2ae5d6d242c8802644f9e3a5e6460de1d,Budget
alphagov/govwifi-terraform,38d0a67cf70d46c26675ce60a7a647eef0f11e52,Overprovisioned resources
appbricks/cloud-inceptor,782a0a3c30cf83bcaeacc942789ccc903576fe8a,Expensive network resource
austin1237/clip-stitcher,4eed76f9bfd4f93181660178ea689d98cd6d66d5,Expensive network resource
austin1237/gifbot,c11dabf1ea02c0e044c62448986bb3f9abdf3967,AWS - Expensive DynamoDB
ayltai/hknews-infrastructure,68171be117d3997b84253258f41fad6daedbc76a,Expensive instance
bculberson/btc2snowflake,9f8227bf53ebc2b1bb0b99d0697f9f66eed7ab6d,Expensive storage type
beaulabs/terraform_aws_ec2_instance,d6df68da5ae58fb5c650c6be15d9d8e676a129db,Expensive instance
bh1m2rn/gitlab-environment-toolkit,b9750f0bb88bc22256085b6bc8f060055e90a8c4,Old generation
bhfsystem/fogg,81e606a72e7c2e06c2f6d9c204086157aa82eac3,Expensive storage type
bhfsystem/fogg,7cc487f270d553f819fea0cf96e872c374979305,Expensive storage type
binbashar/le-tf-infra-aws,0208ae3bc238f029b1faf6bdc3552dbe6147657b,Expensive instance
binbashar/le-tf-infra-aws,10cf13515c722708cfacb8f22ca9b05abca67505,Expensive instance
binbashar/le-tf-infra-aws,a873443bd618ac9c14d12210ed4d12a11cc1f733,Expensive network resource
binbashar/le-tf-infra-aws,19c37f7e4e65d14e760f1ff8cf60cfd1e98c1a8b,Expensive network resource
binbashar/le-tf-infra-aws,bbfbd2484ace2819ffceac9155b995ab870ee3a3,Expensive network resource
binbashar/le-tf-infra-aws,8b1c39cf7e64610b4c17f5b2697a782f0ec99f7e,Expensive network resource
binbashar/le-tf-infra-aws,8b1c39cf7e64610b4c17f5b2697a782f0ec99f7e,Expensive monitoring
byu-oit/terraform-aws-rds,86a0795540edb426c3226775d73fcd4ce807d36a,Old generation
cds-snc/cloud-based-sensor,10bb572d477197bd3874532bfd364de1cb496d05,Budget
chapas/tf-az-kubernetes,bcc6e190b8f8a12b590089fb755c4f552f179ad0,Expensive monitoring
chaspy/terraform-alibaba-isucon8,53588dad5dd4c13903a6c582f74e1afe2671d33e,Overprovisioned resources
chetanbothra/Terraform_AWS_Billing_Alert,43b0d3b4cef0d3f57d4f5d4f1c7aeb9bfc3e362a,Budget
circleci/enterprise-setup,26cc5295c2bb9d8756e450712e0f5f75af440c4a,Old generation
cisagov/cool-assessment-terraform,3138943ab4d15cc256d322e1128862ef11383c73,Old generation
cisagov/cool-sharedservices-nessus,5403a8978053a1299b0afe8d7fc59e914fc5e354,Old generation
cisagov/cyhy_amis,4e67a501bb3f5187a3e9af523921ac62b8a88469,Expensive instance
cisagov/cyhy_amis,7b8d9247a679295e0e1791b13d6c437c473e44b8,Old generation
cisagov/freeipa-server-tf-module,99fd319a72d25441acf36fd2c167a875e9028935,Expensive storage type
cisagov/vulnerable-instances,f70410061b8c6b9249895571e05dfb7a142efb18,Old generation
cloudspout/Gefjun,665692a86bb65ddfa6c001f296c76c17288e2944,Expensive monitoring
cob16/aws_static_website,0d4fbd0a7b296a5c9377a835dff89d1499716082,Budget
codequest-eu/terraform-modules,ffe23d4c2cd78035bef0dfb261701e7ed8dd588d,AWS - Expensive DynamoDB
cookpad/terraform-aws-eks,59c40286757e1fa5cb5391421c5380e5ad506387,Expensive instance
coremaker/terraform-google-nucleus,11234f631f7370dd80ee5fbc5dd7bdbc12dcbf49,Budget
covid-videoplattform/covid-videoplattform,83d8b928ecb3f271a058bb30eaa1e05ce10e0434,Expensive instance
covidapihub/terraform-covidapihub,3c5d381a20fbd287f1003271ee1ba64272325074,Expensive network resource
darogina/terragrunt-aws-modules,9c84d03bde131e7f349dcd493ba5b7e55bf8ae2c,Budget
davidcallen/parkrunpointsleague,21627e4057b3446b511e4369ca366e297cfc87eb,Expensive network resource
deadlysyn/terraform-keycloak-aws,1c982ac4120ae3ed5a88c38f2a4d568ad9a83d22,Old generation
deptno/terraform-aws-modules,49f447bdbb3cf23499e8194e78f852ea1e256d3a,AWS - Expensive DynamoDB
dexterchan/Terraform_Webserver,af5af0b8e6a59a9c5879fde7eaaa86d694c2bfa2,Expensive network resource
dfds/infrastructure-modules,1c9c92d966c342d42ac5c915a7c01f6a98a38122,Expensive monitoring
dgorbov/terraform-s3-backend-setup,81f82740760a357a86b3a77f9ed400624edcb218,AWS - Expensive DynamoDB
digio/terraform-google-gitlab-runner,07f8279fe65a35c0e595f3171f3d75791e49a9ae,Expensive instance
dotancohen81/Rancher,90944271b4e8bd46e3d42ac64bc4964a33a8fdc3,Old generation
dshmelev/aws_kube_tc,853298ac74250964aa2d2ea921daa5905528b3a9,Expensive instance
dwp/dataworks-aws-data-egress,14f065e5161fee14c286c34df7db9f5516ef9bb6,Old generation
dwp/dataworks-aws-data-egress,14f065e5161fee14c286c34df7db9f5516ef9bb6,Overprovisioned resources
dylanmtaylor/dylanmtaylor-terraform-aws,44016d6a8e496b69308a81e88af8c9ef8b710ab3,Overprovisioned resources
ecsworkshop2018/expertalk-2018-ecs-workshop,034908d914982eacea51b0ac61f2781069387412,Expensive network resource
eduardobaitello/terraform-eks,c11fca6440a5000648f690e6282778fb4ec73309,Overprovisioned resources
eladidan/speedyhead.xyz-terraform,71f034f3e13e9118a2a954e1fc3c0d35153184f0,Budget
elliotpryde/personal-infrastructure,772c5ad20818738b09d01cd70ca3de80cbf66dcb,Expensive monitoring
elliotpryde/personal-infrastructure,7c4205cd130c5463d7f39aa6f281e198c143d0d9,Expensive monitoring
falldamagestudio/UE4-GHA-BuildSystem,e58083adbf91e7daa8ddb5db6c3b2e5c8c0a906c,Expensive storage type
fdns/terraform-k8s,f106917bb7b2d8d4428022bb119585bf9f35769c,Expensive instance
fdns/terraform-k8s,f106917bb7b2d8d4428022bb119585bf9f35769c,Overprovisioned resources
figurate/bedrock,bffc023eeff075ef281b1fd261897f4c7216b354,Old generation
filhodanuvem/from-dev-to-ops,998be8119321e8812884075b078a1d5fb36cfa69,Spot instances
firehawkvfx/firehawk-prototype-deprecated,894fb1d80c7a3953b7a51d7acd5e9b942faced8f,Expensive network resource
forgotpw/forgotpw-infrastructure,f4363ad27d366385f2388d073ce8af796e035406,Budget
fpco/terraform-aws-foundation,cfe92035f1b281cddfcf62664ec6b96e85e0ac32,Expensive instance
garylb2/terraform-example-patterns,6de6d83d930bd9459e1cf8c311fa7b45c3f90987,AWS - Expensive DynamoDB
giantswarm/giantnetes-terraform,53ed24b573947c73ea9f0f4f8b477c44b7de2d54,Expensive storage type
giuseppeborgese/terraform-locking-s3-state,6b4e59e8b844417dc5c247bdef1b0adb8e2e7028,AWS - Expensive DynamoDB
goodpen/gke-v.1.0,45053a0862bf97f0525862c411fa4da5d59ac397,Expensive instance
greenbrian/musical-spork,24c07bfd5c31438fff6374e9ba3d577e6402d777,Old generation
gudlyf/TerraformOpenVPN,4bc861c153b65a2d7c0d5f3fac30ab72b0fc6942,Expensive instance
